chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rmse,zero_crossing_rate,mfcc,Genre
0.444347885,3448.154403,2828.123647,6956.85491,0.20091188,0.166861954,2.62878259,Fuji
0.460032952,3584.905139,2871.721299,7164.824781,0.1824036,0.182596891,2.052447754,Fuji
0.394217391,3334.131546,2833.866288,6840.628883,0.22975661,0.145876158,3.742152496,Fuji
0.434186526,3296.676433,2855.402648,6827.18398,0.21455091,0.143092303,4.284294751,Fuji
0.433367158,3644.095404,2776.455575,7024.945024,0.19816571,0.217105612,2.510608461,Fuji
0.45565347,3320.930754,2885.770522,6911.57644,0.20820594,0.152199181,3.707994007,Fuji
0.437750153,3514.846439,2859.205925,7068.086646,0.18192868,0.180296135,2.646682078,Fuji
0.438980391,3451.725537,2837.731288,6968.664241,0.21323065,0.177851848,3.700224504,Fuji
0.37496973,3558.131232,2840.057915,7036.727225,0.22166152,0.173874387,2.70227745,Fuji
0.381337801,2637.747964,2645.122017,5756.522967,0.25923333,0.08921396,3.822639657,Fuji
0.45732468,3646.298403,2928.028606,7263.447468,0.16415286,0.195421288,2.185691282,Fuji
0.406886897,3539.214706,2906.613645,7145.995082,0.19577257,0.164584032,2.910441186,Fuji
0.435960508,3502.835292,2843.783635,7011.828877,0.2005763,0.183820131,2.698762067,Fuji
0.457848955,3431.010034,2931.495495,7087.974076,0.19951747,0.153675733,3.832494613,Fuji
0.432538987,3250.517815,2911.891869,6897.384382,0.21688011,0.128399673,4.230648695,Fuji
0.466772438,3386.806616,2884.194059,6935.685834,0.20189552,0.150364728,4.057913896,Fuji
0.385110878,2598.04629,2629.280576,5671.882444,0.25405478,0.084352759,3.32653297,Fuji
0.436213883,3571.000949,2859.558832,7116.173747,0.20177934,0.183709766,3.624162999,Fuji
0.509048307,3517.456057,2920.967593,7163.077682,0.18684642,0.18002395,4.029997611,Fuji
0.423629301,2804.99996,2325.040453,5637.887653,0.19289057,0.161944284,2.363287352,Fuji
0.420027603,2731.315937,2277.198978,5450.751858,0.22324412,0.15870285,2.943674835,Fuji
0.393308357,3193.25026,2668.21762,6363.354321,0.24779029,0.14854411,2.478949289,Fuji
0.418097557,2585.973922,2562.25092,5515.535095,0.2584974,0.08691696,4.18634914,Fuji
0.393659377,2924.074725,2787.104836,6285.746114,0.26888803,0.097907789,4.163826876,Fuji
0.374558084,3176.96981,2752.19449,6488.903327,0.22617221,0.132009318,2.060445815,Fuji
0.391117287,2702.546805,2387.28962,5685.615177,0.1924782,0.142824554,2.105658133,Fuji
0.40398839,2807.6646,2746.097263,6118.728357,0.27744433,0.091630613,4.344145837,Fuji
0.401081426,3459.507027,2826.23059,6825.476774,0.19602339,0.141941338,0.792129729,Fuji
0.407428354,2744.686059,2351.026065,5602.249718,0.19732335,0.148104477,2.64596146,Fuji
0.386117327,2735.821759,2315.45842,5558.105075,0.20147504,0.155847974,2.410075281,Fuji
0.400439901,3419.199429,2757.283734,6733.662645,0.21348083,0.156011655,1.57448339,Fuji
0.388966455,3397.138444,2739.229613,6666.412237,0.21338643,0.15403213,1.17915437,Fuji
0.390929075,3461.805801,2756.718907,6781.021682,0.21251936,0.163314528,0.584361446,Fuji
